Part;Value;Device;Package;Description
C1;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C2;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C3;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C4;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C5;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C6;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C7;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C9;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C10;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C11;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C12;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C13;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C14;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C15;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C17;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C18;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C19;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C20;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C21;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C22;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C23;100n;C-EUC1206;C1206;CAPACITOR, European symbol
J1;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J2;22-27-2061-06;22-27-2061-06;6410-06;CONNECTOR
J3;22-27-2061-06;22-27-2061-06;6410-06;CONNECTOR
J4;22-27-2061-06;22-27-2061-06;6410-06;CONNECTOR
J5;22-27-2061-06;22-27-2061-06;6410-06;CONNECTOR
J6;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J7;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J8;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J9;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J10;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J11;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J12;22-27-2081-08;22-27-2081-08;6410-08;CONNECTOR
J13;22-27-2081-08;22-27-2081-08;6410-08;CONNECTOR
J14;22-27-2081-08;22-27-2081-08;6410-08;CONNECTOR
J15;22-27-2081-08;22-27-2081-08;6410-08;CONNECTOR
J16;22-27-2061-06;22-27-2061-06;6410-06;CONNECTOR
J17;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J18;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J19;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J20;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J21;22-27-2061-06;22-27-2061-06;6410-06;CONNECTOR
J22;22-27-2061-06;22-27-2061-06;6410-06;CONNECTOR
J23;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J24;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J25;22-27-2081-08;22-27-2081-08;6410-08;CONNECTOR
J26;22-27-2081-08;22-27-2081-08;6410-08;CONNECTOR
J27;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J28;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
J29;PIN2F061.100;PIN2F061.100;F061.100;Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON
J30;PIN2F061.100;PIN2F061.100;F061.100;Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON
J31;PIN2F061.100;PIN2F061.100;F061.100;Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON
J32;PIN2F061.100;PIN2F061.100;F061.100;Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON
J33;PIN2F061.100;PIN2F061.100;F061.100;Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON
J34;PIN2F061.100;PIN2F061.100;F061.100;Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON
J35;PIN2F061.100;PIN2F061.100;F061.100;Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON
J36;22-27-2041-04;22-27-2041-04;6410-04;CONNECTOR
R1;100k;R-EU_R1206;R1206;RESISTOR, European symbol
R2;100k;R-EU_R1206;R1206;RESISTOR, European symbol
X1;FAC32SE;FAC32SE;FAC32S;CONNECTOR
X2;FAC32SE;FAC32SE;FAC32S;CONNECTOR
X3;FAC32SE;FAC32SE;FAC32S;CONNECTOR
X4;FAC32SE;FAC32SE;FAC32S;CONNECTOR
X5;FAC32SE;FAC32SE;FAC32S;CONNECTOR
X6;FAC32SE;FAC32SE;FAC32S;CONNECTOR
X7;FAC32SE;FAC32SE;FAC32S;CONNECTOR
X8;FH15;FH15;FH15;CONNECTOR female, 15 pins, type H, rows DZ
